ORDER_NUMBER,QUANTITY,ORDER_LINE_NUMBER,ORDER_DATE,STATUS,PRODUCT_PURCHASED,SOLD_TO,DEAL_SIZE
10178,24,12,11-08-2003 00:00,Shipped,S10_4757,Alpha Cognac,Medium
10136,25,2,07-04-2003 00:00,Shipped,S18_1129,Alpha Cognac,Medium
10178,42,4,11-08-2003 00:00,Shipped,S18_1662,Alpha Cognac,Medium
10136,36,1,07-04-2003 00:00,Shipped,S18_1984,Alpha Cognac,Medium
10178,41,10,11-08-2003 00:00,Shipped,S18_3029,Alpha Cognac,Medium
10136,41,3,07-04-2003 00:00,Shipped,S18_3232,Alpha Cognac,Large
10178,48,9,11-08-2003 00:00,Shipped,S18_3856,Alpha Cognac,Medium
10178,34,5,11-08-2003 00:00,Shipped,S24_2841,Alpha Cognac,Small
10178,27,6,11-08-2003 00:00,Shipped,S24_3420,Alpha Cognac,Small
10178,21,11,11-08-2003 00:00,Shipped,S24_3816,Alpha Cognac,Small
10178,30,3,11-08-2003 00:00,Shipped,S24_3949,Alpha Cognac,Small
10397,32,5,3/28/2005 0:00,Shipped,S700_1938,Alpha Cognac,Small
10178,34,8,11-08-2003 00:00,Shipped,S700_2047,Alpha Cognac,Medium
10178,22,1,11-08-2003 00:00,Shipped,S700_2466,Alpha Cognac,Small
10397,22,4,3/28/2005 0:00,Shipped,S700_2610,Alpha Cognac,Small
10397,48,3,3/28/2005 0:00,Shipped,S700_3505,Alpha Cognac,Medium
10397,36,2,3/28/2005 0:00,Shipped,S700_3962,Alpha Cognac,Medium
10178,45,2,11-08-2003 00:00,Shipped,S700_4002,Alpha Cognac,Medium
10178,45,7,11-08-2003 00:00,Shipped,S72_1253,Alpha Cognac,Small
10397,34,1,3/28/2005 0:00,Shipped,S72_3212,Alpha Cognac,Small
10280,34,2,8/17/2004 0:00,Shipped,S10_1949,Amica Models & Co.,Large
10293,46,8,09-09-2004 00:00,Shipped,S12_1108,Amica Models & Co.,Large
10293,24,9,09-09-2004 00:00,Shipped,S12_3148,Amica Models & Co.,Medium
10293,45,7,09-09-2004 00:00,Shipped,S12_3891,Amica Models & Co.,Large
10280,24,1,8/17/2004 0:00,Shipped,S18_1097,Amica Models & Co.,Small
10280,50,9,8/17/2004 0:00,Shipped,S18_1342,Amica Models & Co.,Medium
10280,27,8,8/17/2004 0:00,Shipped,S18_1367,Amica Models & Co.,Small
10280,26,16,8/17/2004 0:00,Shipped,S18_1749,Amica Models & Co.,Medium
10280,25,15,8/17/2004 0:00,Shipped,S18_2248,Amica Models & Co.,Small
