ORDER_NUMBER,QUANTITY,ORDER_LINE_NUMBER,ORDER_DATE,STATUS,PRODUCT_PURCHASED,SOLD_TO,DEAL_SIZE
10409,6,2,04-03-2005 00:00,Shipped,S18_2325,Handji Gifts& Co,Small
10407,6,3,05-03-2005 00:00,On Hold,S18_4409,The Sharp Gifts Warehouse,Small
10423,10,1,06-03-2005 00:00,In Process,S18_2949,Petit Auto,Small
10419,10,11,07-03-2005 00:00,Shipped,S12_3380,Salzburg Collectables,Small
10425,11,6,08-03-2005 00:00,In Process,S32_2509,La Rochelle Gifts,Small
10401,11,8,09-03-2005 00:00,On Hold,S700_1691,Tekni Collectables Inc.,Small
10419,12,13,10-03-2005 00:00,Shipped,S12_1099,Salzburg Collectables,Small
10407,13,7,11-03-2005 00:00,On Hold,S24_3191,The Sharp Gifts Warehouse,Small
10416,15,4,12-03-2005 00:00,Shipped,S18_2581,L'ordine Souveniers,Small
10419,15,7,13-03-2005 00:00,Shipped,S24_2972,Salzburg Collectables,Small
10420,15,3,14-03-2005 00:00,In Process,S24_3969,Souveniers And Things Co.,Small
10408,15,1,15-03-2005 00:00,Shipped,S24_3969,"Tokyo Collectables, Ltd",Small
10414,16,11,16-03-2005 00:00,On Hold,S18_4522,Gifts4AllAges.com,Small
10415,18,2,17-03-2005 00:00,Disputed,S24_3420,"Australian Collectables, Ltd",Small
10425,18,2,18-03-2005 00:00,In Process,S50_1392,La Rochelle Gifts,Small
10416,18,13,19-03-2005 00:00,Shipped,S24_3949,L'ordine Souveniers,Small
10412,19,7,20-03-2005 00:00,Shipped,S32_2509,Euro Shopping Channel,Small
10414,19,3,21-03-2005 00:00,On Hold,S10_4757,Gifts4AllAges.com,Small
10425,19,10,22-03-2005 00:00,In Process,S18_2432,La Rochelle Gifts,Small
10280,20,12,23-03-2005 00:00,Shipped,S24_1937,Amica Models & Co.,Small
10370,20,2,24-03-2005 00:00,Shipped,S18_4668,"Anna's Decorations, Ltd",Small
10193,20,9,25-03-2005 00:00,Shipped,S24_2022,"Australian Collectables, Ltd",Small
10193,20,4,26-03-2005 00:00,Shipped,S24_4258,"Australian Collectables, Ltd",Small
10223,20,12,27-03-2005 00:00,Shipped,S32_4289,"Australian Collectors, Co.",Small
10304,20,14,28-03-2005 00:00,Shipped,S18_2795,Auto Assoc. & Cie.,Medium
10252,20,2,29-03-2005 00:00,Shipped,S18_3278,Auto Canal Petit,Small
10306,20,12,30-03-2005 00:00,Shipped,S12_3891,"AV Stores, Co.",Medium
10332,20,5,31-03-2005 00:00,Shipped,S24_1628,"AV Stores, Co.",Small
10110,20,3,01-04-2005 00:00,Shipped,S24_1937,"AV Stores, Co.",Small
10249,20,1,02-04-2005 00:00,Shipped,S24_2841,Cambridge Collectables Co.,Small
10220,20,6,03-04-2005 00:00,Shipped,S32_3207,"Clover Collections, Co.",Small
10381,20,1,04-04-2005 00:00,Shipped,S12_1666,Corporate Gift Ideas Co.,Small
10214,20,3,05-04-2005 00:00,Shipped,S24_1937,"Corrida Auto Replicas, Ltd",Small
10238,20,4,06-04-2005 00:00,Shipped,S12_3990,Danish Wholesale Imports,Small
10327,20,7,07-04-2005 00:00,Resolved,S700_1938,Danish Wholesale Imports,Medium
10281,20,2,08-04-2005 00:00,Shipped,S24_2840,Diecast Classics Inc.,Small
10150,20,1,09-04-2005 00:00,Shipped,S10_4962,"Dragon Souveniers, Ltd.",Medium
10150,20,3,10-04-2005 00:00,Shipped,S700_2824,"Dragon Souveniers, Ltd.",Small
10203,20,8,11-04-2005 00:00,Shipped,S12_1099,Euro Shopping Channel,Medium
10153,20,11,12-04-2005 00:00,Shipped,S12_1108,Euro Shopping Channel,Medium
10203,20,6,13-04-2005 00:00,Shipped,S12_3380,Euro Shopping Channel,Small
10244,20,6,14-04-2005 00:00,Shipped,S18_1367,Euro Shopping Channel,Small
10212,20,14,15-04-2005 00:00,Shipped,S18_1889,Euro Shopping Channel,Small
10358,20,10,16-04-2005 00:00,Shipped,S18_2238,Euro Shopping Channel,Small
10358,20,11,17-04-2005 00:00,Shipped,S18_2319,Euro Shopping Channel,Small
10156,20,1,18-04-2005 00:00,Shipped,S50_1341,Euro Shopping Channel,Small
10153,20,3,19-04-2005 00:00,Shipped,S700_3962,Euro Shopping Channel,Small
10350,20,15,20-04-2005 00:00,Shipped,S72_3212,Euro Shopping Channel,Small
10264,20,2,21-04-2005 00:00,Shipped,S18_4721,Gifts4AllAges.com,Small
10264,20,4,22-04-2005 00:00,Shipped,S32_2206,Gifts4AllAges.com,Small
10288,20,14,23-04-2005 00:00,Shipped,S18_1589,Handji Gifts& Co,Small
10314,20,1,24-04-2005 00:00,Shipped,S18_3140,Heintze Collectables,Small
10161,20,3,25-04-2005 00:00,Shipped,S24_2766,Heintze Collectables,Small
10161,20,4,26-04-2005 00:00,Shipped,S24_3191,Heintze Collectables,Small
10181,20,15,27-04-2005 00:00,Shipped,S12_3990,Herkku Gifts,Small
10375,20,14,28-04-2005 00:00,Shipped,S24_2360,La Rochelle Gifts,Small
10329,20,2,29-04-2005 00:00,Shipped,S10_2016,Land of Toys Inc.,Medium
10248,20,3,30-04-2005 00:00,Cancelled,S10_4757,Land of Toys Inc.,Small
10107,20,8,01-05-2005 00:00,Shipped,S32_1374,Land of Toys Inc.,Small
10176,20,10,02-05-2005 00:00,Shipped,S18_2238,L'ordine Souveniers,Medium
10266,20,3,03-05-2005 00:00,Shipped,S18_2870,L'ordine Souveniers,Small
10134,20,1,04-05-2005 00:00,Shipped,S12_2823,Lyon Souveniers,Small
10122,20,7,05-05-2005 00:00,Shipped,S12_4675,Marseille Mini Autos,Small
10344,20,6,06-05-2005 00:00,Shipped,S24_1937,Marseille Mini Autos,Small
10285,20,10,07-05-2005 00:00,Shipped,S18_2625,Marta's Replicas Co.,Small
10160,20,1,08-05-2005 00:00,Shipped,S18_3232,"Men 'R' US Retailers, Ltd.",Medium
10209,20,5,09-05-2005 00:00,Shipped,S18_3856,"Men 'R' US Retailers, Ltd.",Small
10170,20,2,10-05-2005 00:00,Shipped,S18_1889,Mini Auto Werke,Small
10308,20,1,11-05-2005 00:00,Shipped,S10_4698,Mini Classics,Medium
10185,20,15,12-05-2005 00:00,Shipped,S50_1514,Mini Creations Ltd.,Small
10182,20,7,13-05-2005 00:00,Shipped,S18_2325,Mini Gifts Distributors Ltd.,Small
10271,20,9,14-05-2005 00:00,Shipped,S18_3232,Mini Gifts Distributors Ltd.,Medium
10371,20,5,15-05-2005 00:00,Shipped,S24_2300,Mini Gifts Distributors Ltd.,Medium
10382,20,3,16-05-2005 00:00,Shipped,S24_2300,Mini Gifts Distributors Ltd.,Small
10182,20,13,17-05-2005 00:00,Shipped,S24_2887,Mini Gifts Distributors Ltd.,Small
10135,20,1,18-05-2005 00:00,Shipped,S24_2972,Mini Gifts Distributors Ltd.,Small
10368,20,4,19-05-2005 00:00,Shipped,S24_3432,Mini Gifts Distributors Ltd.,Small
10371,20,2,20-05-2005 00:00,Shipped,S32_2509,Mini Gifts Distributors Ltd.,Small
10331,20,5,21-05-2005 00:00,Shipped,S50_4713,Motor Mint Distributors Inc.,Medium
10204,20,10,22-05-2005 00:00,Shipped,S24_1046,Muscle Machine Inc,Small
10127,20,8,23-05-2005 00:00,Shipped,S24_1444,Muscle Machine Inc,Small
10127,20,7,24-05-2005 00:00,Shipped,S24_4048,Muscle Machine Inc,Small
10322,20,3,25-05-2005 00:00,Shipped,S24_1937,Online Diecast Creations Co.,Small
10276,20,2,26-05-2005 00:00,Shipped,S24_3371,Online Mini Collectables,Small
10239,20,2,27-05-2005 00:00,Shipped,S24_2972,"Oulu Toy Supplies, Inc.",Small
10261,20,9,28-05-2005 00:00,Shipped,S18_4522,Quebec Home Shopping Network,Small
10328,20,2,29-05-2005 00:00,Shipped,S24_3420,Rovelli Gifts,Small
10283,20,2,30-05-2005 00:00,Shipped,S700_2047,"Royal Canadian Collectables, Ltd.",Small
10144,20,1,31-05-2005 00:00,Shipped,S32_4289,Royale Belge,Small
10119,20,5,01-06-2005 00:00,Shipped,S24_3420,Salzburg Collectables,Small
10208,20,12,02-06-2005 00:00,Shipped,S12_3891,"Saveley & Henriot, Co.",Medium
10208,20,2,03-06-2005 00:00,Shipped,S24_3151,"Saveley & Henriot, Co.",Small
10167,20,11,04-06-2005 00:00,Cancelled,S24_3151,Scandinavian Gift Ideas,Small
10149,20,1,05-06-2005 00:00,Shipped,S24_4258,Signal Collectibles Ltd.,Small
10361,20,13,06-06-2005 00:00,Shipped,S10_1678,Souveniers And Things Co.,Small
10139,20,3,07-06-2005 00:00,Shipped,S18_2957,Souveniers And Things Co.,Small
10139,20,2,08-06-2005 00:00,Shipped,S18_3136,Souveniers And Things Co.,Small
10361,20,4,09-06-2005 00:00,Shipped,S700_1691,Souveniers And Things Co.,Small
10351,20,2,10-06-2005 00:00,Shipped,S18_3856,"Stylish Desk Decors, Co.",Medium
10141,20,2,11-06-2005 00:00,Shipped,S24_1444,Suominen Souveniers,Small
10168,20,3,12-06-2005 00:00,Shipped,S10_4698,Technics Stores Inc.,Medium
10400,20,4,13-06-2005 00:00,Shipped,S72_1253,The Sharp Gifts Warehouse,Small
10258,20,2,14-06-2005 00:00,Shipped,S32_3522,"Tokyo Collectables, Ltd",Small
10310,20,6,15-06-2005 00:00,Shipped,S18_1889,"Toms Spezialitten, Ltd",Small
10155,20,2,16-06-2005 00:00,Shipped,S700_2466,"Toys of Finland, Co.",Small
10145,20,13,17-06-2005 00:00,Shipped,S700_2834,Toys4GrownUps.com,Small
10287,20,11,18-06-2005 00:00,Shipped,S24_3371,"Vida Sport, Ltd",Small
10237,20,8,19-06-2005 00:00,Shipped,S24_1578,Vitachrome Inc.,Small
10324,20,11,20-06-2005 00:00,Shipped,S32_1268,Vitachrome Inc.,Small
10237,20,3,21-06-2005 00:00,Shipped,S50_4713,Vitachrome Inc.,Small
10334,20,3,22-06-2005 00:00,On Hold,S18_3232,"Volvo Model Replicas, Co",Small
10326,20,2,23-06-2005 00:00,Shipped,S24_3816,"Volvo Model Replicas, Co",Small
10178,21,11,24-06-2005 00:00,Shipped,S24_3816,Alpha Cognac,Small
10293,21,2,25-06-2005 00:00,Shipped,S24_2011,Amica Models & Co.,Small
10280,21,6,26-06-2005 00:00,Shipped,S24_4258,Amica Models & Co.,Small
10148,21,4,27-06-2005 00:00,Shipped,S24_2766,"Anna's Decorations, Ltd",Small
10193,21,14,28-06-2005 00:00,Shipped,S18_1749,"Australian Collectables, Ltd",Medium
10415,21,1,29-06-2005 00:00,Disputed,S24_2841,"Australian Collectables, Ltd",Small
10347,21,7,30-06-2005 00:00,Shipped,S18_1367,"Australian Collectors, Co.",Small
10347,21,6,01-07-2005 00:00,Shipped,S18_2795,"Australian Collectors, Co.",Medium
10223,21,7,02-07-2005 00:00,Shipped,S32_1374,"Australian Collectors, Co.",Small
10211,21,11,03-07-2005 00:00,Shipped,S24_2360,Auto Canal Petit,Small
10332,21,3,04-07-2005 00:00,Shipped,S18_4933,"AV Stores, Co.",Medium
10309,21,6,05-07-2005 00:00,Shipped,S24_1578,Baane Mini Imports,Small
10296,21,13,06-07-2005 00:00,Shipped,S18_3029,"Bavarian Collectables Imports, Co.",Small
10296,21,8,07-07-2005 00:00,Shipped,S24_2841,"Bavarian Collectables Imports, Co.",Small
10296,21,10,08-07-2005 00:00,Shipped,S72_1253,"Bavarian Collectables Imports, Co.",Small
10313,21,11,09-07-2005 00:00,Shipped,S12_1666,Canadian Gift Exchange Network,Small
10206,21,4,10-07-2005 00:00,Shipped,S18_4668,Canadian Gift Exchange Network,Small
10183,21,7,11-07-2005 00:00,Shipped,S18_1097,"Classic Gift Ideas, Inc",Small
10183,21,2,12-07-2005 00:00,Shipped,S18_4600,"Classic Gift Ideas, Inc",Small
10163,21,1,13-07-2005 00:00,Shipped,S10_1949,Classic Legends Inc.,Medium
10337,21,6,14-07-2005 00:00,Shipped,S50_1514,Classic Legends Inc.,Small
10226,21,1,15-07-2005 00:00,Shipped,S24_1046,Collectable Mini Designs Co.,Small
10147,21,8,16-07-2005 00:00,Shipped,S12_3990,Collectables For Less Inc.,Small
10369,21,5,17-07-2005 00:00,Shipped,S18_3136,Collectables For Less Inc.,Small
10159,21,5,18-07-2005 00:00,Shipped,S18_3278,Corporate Gift Ideas Co.,Small
10159,21,8,19-07-2005 00:00,Shipped,S18_3782,Corporate Gift Ideas Co.,Small
10126,21,8,20-07-2005 00:00,Shipped,S12_1666,"Corrida Auto Replicas, Ltd",Small
10214,21,6,21-07-2005 00:00,Shipped,S18_2248,"Corrida Auto Replicas, Ltd",Small
10180,21,3,22-07-2005 00:00,Shipped,S18_3782,Daedalus Designs Imports,Small
10180,21,5,23-07-2005 00:00,Shipped,S50_4713,Daedalus Designs Imports,Small
10327,21,1,24-07-2005 00:00,Resolved,S700_2610,Danish Wholesale Imports,Small
10186,21,3,25-07-2005 00:00,Shipped,S24_3420,"Double Decker Gift Stores, Ltd",Small
10117,21,7,26-07-2005 00:00,Shipped,S18_3259,"Dragon Souveniers, Ltd.",Small
10117,21,11,27-07-2005 00:00,Shipped,S50_1514,"Dragon Souveniers, Ltd.",Small
10417,21,1,28-07-2005 00:00,Disputed,S12_2823,Euro Shopping Channel,Medium
10386,21,18,29-07-2005 00:00,Resolved,S18_2581,Euro Shopping Channel,Small
